,Gene,Gene synonym,Ensembl,Gene description,Uniprot,Chromosome,Position,Protein class,Biological process,Molecular function,Disease involvement,Evidence,HPA evidence,UniProt evidence,NeXtProt evidence,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,RNA cancer specificity,RNA cancer distribution,RNA cancer specificity score,RNA cancer specific FPKM,RNA brain regional specificity,RNA brain regional distribution,RNA brain regional specificity score,RNA brain regional specific nTPM,RNA blood cell specificity,RNA blood cell distribution,RNA blood cell specificity score,RNA blood cell specific nTPM,RNA blood lineage specificity,RNA blood lineage distribution,RNA blood lineage specificity score,RNA blood lineage specific nTPM,RNA cell line specificity,RNA cell line distribution,RNA cell line specificity score,RNA cell line specific nTPM,RNA tissue cell type enrichment,RNA mouse brain regional specificity,RNA mouse brain regional distribution,RNA mouse brain regional specificity score,RNA mouse brain regional specific nTPM,RNA pig brain regional specificity,RNA pig brain regional distribution,RNA pig brain regional specificity score,RNA pig brain regional specific nTPM,Antibody,Reliability (IH),Reliability (Mouse Brain),Reliability (IF),Subcellular location,Secretome location,Secretome function,CCD Protein,CCD Transcript,Blood concentration - Conc. blood IM [pg/L],Blood concentration - Conc. blood MS [pg/L],Blood expression cluster,Tissue expression cluster,Brain expression cluster,Cell line expression cluster,Single cell expression cluster,Interactions,Subcellular main location,Subcellular additional location,Antibody RRID,Cancer prognostics - Bladder Urothelial Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (TCGA),Cancer prognostics - Breast Invasive Carcinoma (validation),Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (TCGA),Cancer prognostics - Colon Adenocarcinoma (validation),Cancer prognostics - Glioblastoma Multiforme (TCGA),Cancer prognostics - Glioblastoma Multiforme (validation),Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA),Cancer prognostics - Kidney Chromophobe (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA),Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation),Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA),Cancer prognostics - Liver Hepatocellular Carcinoma (validation),Cancer prognostics - Lung Adenocarcinoma (TCGA),Cancer prognostics - Lung Adenocarcinoma (validation),Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA),Cancer prognostics - Lung Squamous Cell Carcinoma (validation),Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA),Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation),Cancer prognostics - Pancreatic Adenocarcinoma (TCGA),Cancer prognostics - Pancreatic Adenocarcinoma (validation),Cancer prognostics - Prostate Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (TCGA),Cancer prognostics - Rectum Adenocarcinoma (validation),Cancer prognostics - Skin Cuteneous Melanoma (TCGA),Cancer prognostics - Stomach Adenocarcinoma (TCGA),Cancer prognostics - Testicular Germ Cell Tumor (TCGA),Cancer prognostics - Thyroid Carcinoma (TCGA),Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA),HPA_Score,UniProt_Score,Final_Score
5928,FBXO27,"Fbg5, Fbx27",ENSG00000161243,F-box protein 27,Q8NI29,19,38990714-39032785,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,skin 1: 36.5,Cell type enhanced,Detected in many,,Cytotrophoblasts: 35.6;Schwann cells: 21.0;Suprabasal keratinocytes: 21.1;Syncytiotrophoblasts: 24.4,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other)",Low region specificity,Detected in all,,,Not detected,Not detected,,,"HPA046800, HPA062242",Approved,,Approved,Nucleoplasm,,,,,,,,Cluster 80: Non-specific - Endocytosis,Cluster 15: Non-specific - Transcription,Cluster 4: Non-specific - Transcription,Cluster 24: Cytotrophoblasts - Mitochondria,7.0,Nucleoplasm,,"HPA046800: AB_2679813, HPA062242: AB_2684723",unprognostic (7.06e-2),unprognostic (2.77e-2),unprognostic (4.64e-1),unprognostic (4.18e-1),unprognostic (5.04e-2),unprognostic (1.16e-1),unprognostic (9.18e-3),unprognostic (2.18e-5),unprognostic (5.54e-3),unprognostic (1.58e-1),unprognostic (1.38e-2),unprognostic (3.10e-2),unprognostic (1.66e-2),unprognostic (7.43e-2),unprognostic (6.67e-2),unprognostic (2.06e-2),unprognostic (1.10e-2),unprognostic (1.14e-1),unprognostic (1.49e-1),unprognostic (6.57e-3),unprognostic (2.83e-1),unprognostic (1.80e-2),unprognostic (9.35e-3),unprognostic (1.28e-1),unprognostic (7.57e-3),unprognostic (2.19e-1),unprognostic (2.49e-1),unprognostic (1.34e-1),unprognostic (4.68e-2),unprognostic (4.07e-2),unprognostic (3.72e-2),0,0,0
5927,FBXO25,FBX25,ENSG00000147364,F-box protein 25,Q8TCJ0,8,406428-477967,"Disease related genes, Predicted intracellular proteins",Ubl conjugation pathway,Actin-binding,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,testis: 95.1,Cell type enhanced,Detected in all,,Early spermatids: 629.1;Late spermatids: 323.3;Spermatocytes: 547.7,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Minor Salivary Gland - Minor salivary glandular cells, Prostate - Prostate glandular cells, Testis - Early spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,,,,,,,,,,,,Cluster 12: Non-specific - Mitochondrial translation,Cluster 46: Testis - Spermatogenesis,Cluster 10: Cerebellum - Nucleic acid binding,Cluster 59: Leukemia - T-cell receptor,Cluster 70: Spermatocytes & Spermatids - Spermatid development,8.0,,,,unprognostic (1.14e-1),unprognostic (1.72e-2),unprognostic (4.64e-2),unprognostic (3.15e-4),unprognostic (3.22e-3),unprognostic (3.50e-2),unprognostic (1.30e-1),unprognostic (3.36e-2),unprognostic (1.74e-1),unprognostic (2.82e-3),unprognostic (5.49e-7),unprognostic (1.20e-4),unprognostic (1.42e-1),unprognostic (6.24e-2),unprognostic (8.67e-4),unprognostic (8.90e-3),unprognostic (5.19e-2),unprognostic (2.34e-1),unprognostic (1.15e-1),unprognostic (2.87e-1),unprognostic (4.79e-4),unprognostic (1.53e-1),unprognostic (2.32e-2),unprognostic (1.98e-1),unprognostic (1.42e-2),unprognostic (2.23e-1),unprognostic (1.55e-1),unprognostic (3.54e-1),unprognostic (1.47e-1),unprognostic (1.85e-1),unprognostic (1.56e-2),0,0,0
5925,FBXO22,"FBX22, FISTC1",ENSG00000167196,F-box protein 22,Q8NEZ5,15,75903876-75942511,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,Cone photoreceptor cells: 192.0;Rod photoreceptor cells: 187.3,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,,,,,,,,,,,,Cluster 5: Non-specific - Cell proliferation,Cluster 39: Retina & Testis - Cilium,Cluster 25: Non-specific - Transcription,Cluster 58: Non-specific - Nuclear processes,Cluster 66: Photoreceptor cells - Visual perception,24.0,,,,unprognostic (2.37e-1),unprognostic (7.17e-2),unprognostic (2.15e-1),unprognostic (6.54e-2),unprognostic (3.07e-2),unprognostic (2.95e-1),unprognostic (1.06e-2),unprognostic (1.48e-1),unprognostic (1.63e-2),unprognostic (9.48e-2),unprognostic (2.99e-7),unprognostic (2.17e-2),unprognostic (9.40e-2),unprognostic (9.09e-3),unprognostic (1.09e-3),unprognostic (1.57e-4),unprognostic (3.34e-2),unprognostic (9.29e-2),unprognostic (7.49e-2),unprognostic (7.53e-2),unprognostic (1.69e-1),unprognostic (8.13e-5),unprognostic (2.69e-1),unprognostic (1.10e-1),unprognostic (2.78e-2),unprognostic (1.80e-1),unprognostic (9.60e-2),unprognostic (9.90e-2),unprognostic (4.86e-2),unprognostic (1.04e-1),unprognostic (1.48e-1),0,0,0
5924,FBXO21,"FBX21, KIAA0875",ENSG00000135108,F-box protein 21,O94952,12,117141991-117190470,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at transcript level,Evidence at transcript level,Evidence at protein level,Tissue enhanced,Detected in all,,fallopian tube: 111.5,Cell type enhanced,Detected in all,,Peritubular cells: 217.4;Secretory cells: 388.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Thyroid gland - Thyroid glandular cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA062411, HPA071452",Approved,,Approved,"Nucleoplasm,Mitochondria",,,,,,,Cluster 33: Non-specific - ATP binding,Cluster 74: Spermatids - Flagellum assembly,Cluster 56: Hypothalamus - Neuropeptide signaling,Cluster 38: Non-specific - Transcription,Cluster 37: Glandular & Luminal cells - Unknown function,11.0,Mitochondria,Nucleoplasm,"HPA062411: AB_2684755, HPA071452: AB_2686398",unprognostic (8.79e-2),unprognostic (8.96e-3),unprognostic (5.37e-2),unprognostic (1.68e-1),unprognostic (9.06e-3),unprognostic (7.90e-3),unprognostic (1.19e-1),unprognostic (6.39e-3),unprognostic (2.25e-1),unprognostic (1.11e-1),unprognostic (9.81e-10),unprognostic (3.40e-6),unprognostic (1.57e-1),unprognostic (3.83e-1),unprognostic (7.83e-2),unprognostic (3.50e-1),unprognostic (9.66e-2),unprognostic (8.66e-2),unprognostic (2.03e-3),unprognostic (1.90e-1),unprognostic (7.66e-2),unprognostic (1.17e-1),unprognostic (3.81e-4),unprognostic (8.28e-2),unprognostic (4.08e-2),unprognostic (2.46e-2),unprognostic (1.12e-1),unprognostic (1.73e-1),unprognostic (3.06e-1),unprognostic (2.20e-1),unprognostic (1.72e-1),0,0,0
5923,FBXO2,"Fbg1, Fbs1, FBX2, Nfb42, OCP1",ENSG00000116661,F-box protein 2,Q9UK22,1,11637018-11655785,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Group enriched,Detected in many,5.0,brain: 296.0;choroid plexus: 92.9;pancreas: 84.4;pituitary gland: 115.2,Cell type enhanced,Detected in many,,Basal respiratory cells: 140.8;Exocrine glandular cells: 355.1;Hepatocytes: 113.3;Pancreatic endocrine cells: 115.5,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in some,,,Low lineage specificity,Detected in single,,,Cancer enhanced,Detected in many,,cervical cancer: 82.5,"Adipose visceral - Mesothelial cells, Colon - Colon enteroendocrine cells",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA005472,Enhanced,,Approved,"Nucleoplasm,Cytosol",,,,,,,Cluster 24: Non-specific - Transcription,Cluster 9: Oligodendrocytes - Myelination,Cluster 19: Astrocytes - Mixed function,Cluster 72: Neuronal - Signal transduction,Cluster 45: Non-specific - Mixed function,171.0,"Nucleoplasm, Cytosol",,HPA005472: AB_2667332,unprognostic (2.65e-2),unprognostic (4.60e-2),unprognostic (4.33e-2),unprognostic (1.68e-1),unprognostic (1.82e-1),unprognostic (1.71e-5),unprognostic (1.43e-1),unprognostic (9.00e-2),unprognostic (5.72e-2),unprognostic (4.48e-1),unprognostic (2.58e-2),unprognostic (3.87e-2),unprognostic (6.17e-3),unprognostic (6.15e-2),unprognostic (1.29e-2),unprognostic (1.09e-1),unprognostic (3.18e-2),unprognostic (1.62e-3),unprognostic (1.60e-2),unprognostic (3.62e-1),unprognostic (6.07e-2),unprognostic (2.16e-2),unprognostic (5.47e-2),unprognostic (1.51e-2),unprognostic (2.72e-1),unprognostic (2.29e-2),unprognostic (2.53e-3),unprognostic (5.92e-2),unprognostic (1.77e-1),unprognostic (4.18e-2),unprognostic (3.32e-2),0,0,0
5922,FBXO17,"FBG4, Fbx17, FBXO26, FLJ11798, FLJ25205, MGC9379",ENSG00000269190,F-box protein 17,Q96EF6,19,38941401-38975742,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,liver: 66.2,Cell type enhanced,Detected in many,,Leydig cells: 83.0;Ovarian stromal cells: 74.3;Peritubular cells: 74.5;Proximal tubular cells: 68.8,Low cell type specificity,Detected in many,,,Cancer enhanced,Detected in many,,Kidney Renal Clear Cell Carcinoma (TCGA): 36.9,Low region specificity,Detected in all,,,Not detected in immune cells,Not detected,,,Not detected,Not detected,,,Low cancer specificity,Detected in many,,,"Heart muscle - Fibroblasts, Thyroid gland - Fibroblasts",Low region specificity,Detected in many,,,Low region specificity,Detected in all,,,,,,,,,,,,,,,Cluster 1: Liver & Kidney - Metabolism,Cluster 15: Non-specific - Transcription,Cluster 4: Non-specific - Transcription,Cluster 6: Ovarian stromal cells - Transcription,43.0,,,,unprognostic (8.88e-2),unprognostic (1.66e-1),unprognostic (8.59e-2),unprognostic (1.02e-3),unprognostic (1.88e-2),unprognostic (1.43e-1),unprognostic (7.09e-4),unprognostic (2.93e-7),unprognostic (1.88e-1),unprognostic (2.27e-1),unprognostic (5.77e-4),unprognostic (5.97e-2),unprognostic (3.11e-1),unprognostic (1.66e-1),unprognostic (7.48e-2),unprognostic (6.99e-5),unprognostic (1.15e-1),unprognostic (9.56e-2),unprognostic (2.91e-1),unprognostic (3.99e-3),unprognostic (4.99e-1),unprognostic (6.27e-3),unprognostic (4.81e-1),unprognostic (8.89e-3),unprognostic (1.49e-1),unprognostic (4.88e-2),unprognostic (6.45e-3),unprognostic (9.02e-4),unprognostic (3.14e-2),,unprognostic (6.95e-3),0,0,0
5919,FBXO11,"FBX11, UBR6",ENSG00000138081,F-box protein 11,Q86XK2,2,47789316-47906498,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Ubl conjugation pathway,,"Cancer-related genes, Disease variant, Intellectual disability",Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in many,,,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Testis - Spermatocytes, Testis - Spermatogonia",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA002690,,,Supported,"Nucleoplasm,Nucleoli",,,,,,,Cluster 32: Basophils - Transcription,Cluster 16: Non-specific - Transcription,Cluster 16: Non-specific - Transcription,Cluster 26: Non-specific - Mitochondria & RNA binding,Cluster 29: Monocytes - Innate immune response,25.0,"Nucleoplasm, Nucleoli",,HPA002690: AB_1848448,unprognostic (1.27e-1),unprognostic (5.18e-2),unprognostic (1.73e-1),unprognostic (2.87e-2),unprognostic (1.63e-1),unprognostic (1.42e-2),unprognostic (4.95e-2),unprognostic (1.75e-2),unprognostic (1.54e-1),unprognostic (7.34e-2),unprognostic (8.16e-6),unprognostic (1.36e-2),unprognostic (4.38e-1),unprognostic (8.84e-4),unprognostic (1.10e-1),unprognostic (2.93e-1),unprognostic (1.23e-1),unprognostic (1.22e-1),unprognostic (2.21e-2),unprognostic (3.20e-2),unprognostic (1.28e-1),unprognostic (6.06e-2),unprognostic (2.01e-1),unprognostic (8.52e-3),unprognostic (1.89e-1),unprognostic (7.82e-2),unprognostic (6.84e-2),unprognostic (1.83e-1),unprognostic (1.96e-1),unprognostic (1.62e-1),unprognostic (1.34e-1),0,0,0
5918,FBXO10,FBX10,ENSG00000147912,F-box protein 10,Q9UK96,9,37510892-37576380,"Disease related genes, Predicted intracellular proteins","Apoptosis, Ubl conjugation pathway",,,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in many,,skeletal muscle: 28.7,Cell type enhanced,Detected in many,,Early spermatids: 20.3;Excitatory neurons: 27.7;Inhibitory neurons: 27.0;Late spermatids: 50.6;Oligodendrocyte precursor cells: 15.6,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Group enriched,Detected in some,4.0,memory B-cell: 2.1;naive B-cell: 1.3,Lineage enriched,Detected in single,5.0,B-cells: 2.1,Low cancer specificity,Detected in all,,,"Adrenal gland - Adrenal cortex cells, Testis - Early spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA002863, HPA072721",Uncertain,,Approved,"Nucleoplasm,Cytosol",,,,,,,Cluster 23: B-cells - Immunoglobulins,Cluster 79: Non-specific - Transcription,Cluster 38: Sub-cortical - Mixed function,Cluster 33: Sarcoma - Muscle contraction,Cluster 8: Neurons - Neuronal signaling,3.0,"Nucleoplasm, Cytosol",,"HPA002863: AB_10965996, HPA072721: ",unprognostic (7.02e-3),unprognostic (3.54e-2),unprognostic (2.71e-1),unprognostic (1.01e-1),unprognostic (1.79e-1),unprognostic (1.21e-2),unprognostic (3.15e-1),unprognostic (1.15e-3),unprognostic (4.82e-2),unprognostic (6.23e-2),unprognostic (4.48e-4),unprognostic (9.48e-2),unprognostic (6.08e-3),unprognostic (2.38e-4),unprognostic (1.62e-2),unprognostic (2.75e-1),unprognostic (1.69e-1),unprognostic (2.27e-1),unprognostic (1.35e-1),unprognostic (3.10e-2),unprognostic (3.10e-1),unprognostic (3.58e-3),unprognostic (1.27e-1),unprognostic (3.25e-1),unprognostic (2.48e-1),unprognostic (6.33e-2),unprognostic (5.32e-2),unprognostic (1.74e-1),unprognostic (9.50e-2),unprognostic (2.07e-1),unprognostic (2.39e-1),0,0,0
5917,FBXL8,Fbl8,ENSG00000135722,F-box and leucine rich repeat protein 8,Q96CD0,16,67159932-67164570,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in many,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Minor Salivary Gland - Minor salivary glandular cells,Not detected,Not detected,,,Low region specificity,Detected in all,,,"HPA035587, HPA035588",Uncertain,,Approved,Golgi apparatus,,,,,,,Cluster 33: Non-specific - ATP binding,Cluster 18: Non-specific - Ribosome,Cluster 6: Non-specific - Immune response,Cluster 68: Non-specific - Cell cycle regulation,Cluster 16: Intestinal goblet cells - Mucin production,7.0,Golgi apparatus,,"HPA035587: AB_2674690, HPA035588: AB_10670023",unprognostic (1.18e-1),unprognostic (2.95e-1),unprognostic (6.94e-2),unprognostic (1.81e-3),unprognostic (4.12e-3),unprognostic (1.72e-1),unprognostic (1.72e-1),,unprognostic (1.56e-1),unprognostic (5.20e-2),unprognostic (9.02e-3),unprognostic (3.16e-1),unprognostic (3.89e-2),unprognostic (3.62e-2),unprognostic (1.34e-1),unprognostic (1.83e-2),unprognostic (2.33e-1),unprognostic (6.13e-2),unprognostic (2.52e-2),unprognostic (3.79e-2),unprognostic (4.76e-2),unprognostic (9.29e-2),unprognostic (1.46e-1),unprognostic (1.67e-1),unprognostic (7.77e-3),unprognostic (3.46e-2),unprognostic (8.66e-2),unprognostic (2.42e-1),unprognostic (1.30e-1),unprognostic (2.38e-2),unprognostic (1.16e-2),0,0,0
5915,FBXL6,FBL6,ENSG00000182325,F-box and leucine rich repeat protein 6,Q8N531,8,144355431-144359376,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at protein level,Evidence at transcript level,Evidence at protein level,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,Proximal enterocytes: 43.6,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Immune cell enhanced,Detected in single,,non-classical monocyte: 1.6,Low lineage specificity,Detected in single,,,Low cancer specificity,Detected in all,,,,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA008867,,,Approved,"Nucleoplasm,Vesicles",,,Yes,No,,,Cluster 29: Non-specific - Unknown function,Cluster 48: Stomach - Proteolysis,Cluster 12: Non-specific - Vasculature,Cluster 57: Stomach & Colon cancer - Digestion,Cluster 22: Proximal enterocytes - Digestion,48.0,Nucleoplasm,Vesicles,HPA008867: AB_2668161,unprognostic (2.04e-2),unprognostic (1.60e-3),unprognostic (1.34e-1),unprognostic (2.76e-1),unprognostic (3.60e-2),unprognostic (2.18e-1),unprognostic (1.96e-1),unprognostic (1.14e-4),unprognostic (4.08e-3),unprognostic (3.71e-1),unprognostic (3.77e-3),unprognostic (4.17e-3),unprognostic (7.60e-2),unprognostic (1.50e-1),unprognostic (1.94e-1),unprognostic (8.21e-2),unprognostic (6.32e-2),unprognostic (3.94e-2),unprognostic (2.85e-2),unprognostic (1.45e-2),unprognostic (1.80e-4),unprognostic (8.72e-4),unprognostic (1.29e-1),unprognostic (3.81e-2),unprognostic (2.68e-2),unprognostic (8.39e-2),unprognostic (6.93e-4),unprognostic (8.87e-2),unprognostic (1.12e-1),unprognostic (7.60e-2),unprognostic (1.08e-1),0,0,0
5960,FBXW5,"DKFZP434B205, Fbw5, MGC20962",ENSG00000159069,F-box and WD repeat domain containing 5,Q969U6,9,136940435-136944738,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Tissue enhanced,Detected in all,,testis: 244.8,Cell type enhanced,Detected in all,,Early spermatids: 480.6;Late spermatids: 1839.1;Proximal enterocytes: 428.3,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in all,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,"Testis - Early spermatids, Testis - Late spermatids",Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,HPA046615,Approved,,Approved,Mitochondria,,,No,No,,,Cluster 12: Non-specific - Mitochondrial translation,Cluster 44: Testis - Spermatogenesis,Cluster 32: Cerebral cortex - Mixed function,Cluster 43: Non-specific - Basic cellular processes,Cluster 36: Late spermatids - Unknown function,91.0,Mitochondria,,HPA046615: AB_10965648,unprognostic (3.87e-2),unprognostic (4.39e-3),unprognostic (8.51e-2),unprognostic (7.40e-3),unprognostic (2.89e-1),unprognostic (1.51e-1),unprognostic (9.65e-2),unprognostic (3.26e-1),unprognostic (2.64e-1),unprognostic (1.51e-2),unprognostic (6.30e-8),unprognostic (2.12e-1),unprognostic (5.18e-2),unprognostic (2.11e-3),unprognostic (1.49e-1),unprognostic (4.30e-2),unprognostic (4.41e-1),unprognostic (7.69e-3),unprognostic (2.73e-1),unprognostic (1.47e-1),unprognostic (3.28e-3),unprognostic (4.06e-2),unprognostic (2.37e-2),unprognostic (5.93e-2),unprognostic (1.20e-1),unprognostic (3.46e-2),unprognostic (1.26e-1),unprognostic (3.68e-2),unprognostic (8.61e-2),unprognostic (1.47e-1),unprognostic (2.39e-1),0,0,0
5962,FBXW8,"FBW6, FBW8, FBX29, FBXO29",ENSG00000174989,F-box and WD repeat domain containing 8,Q8N3Y1,12,116910950-117031148,Predicted intracellular proteins,Ubl conjugation pathway,,,Evidence at protein level,Evidence at protein level,Evidence at protein level,Evidence at protein level,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,Early spermatids: 42.2;Excitatory neurons: 39.2;Inhibitory neurons: 37.3;Late spermatids: 74.9;Oligodendrocyte precursor cells: 35.8,Low cell type specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Low region specificity,Detected in all,,,Low immune cell specificity,Detected in many,,,Low lineage specificity,Detected in all,,,Low cancer specificity,Detected in all,,,Adipose visceral - Adipose progenitor cells,Low region specificity,Detected in all,,,Low region specificity,Detected in all,,,"HPA038850, HPA038851",Supported,,Supported,Cytosol,,,,,,,Cluster 14: Non-specific - Unknown function,Cluster 68: Non-specific - Protein processing,Cluster 17: Choroid plexus - Cilium,Cluster 38: Non-specific - Transcription,Cluster 11: Late spermatids - Unknown function,21.0,Cytosol,,"HPA038850: AB_2676238, HPA038851: AB_10673479",unprognostic (6.38e-2),unprognostic (4.98e-2),unprognostic (1.11e-1),unprognostic (3.89e-2),unprognostic (1.42e-2),unprognostic (1.89e-2),unprognostic (2.08e-1),unprognostic (5.45e-2),unprognostic (5.62e-3),unprognostic (2.65e-4),unprognostic (1.47e-3),unprognostic (1.55e-1),unprognostic (2.71e-1),unprognostic (1.04e-2),unprognostic (2.25e-2),unprognostic (7.13e-2),unprognostic (2.68e-3),unprognostic (7.46e-2),unprognostic (1.18e-1),unprognostic (5.29e-2),unprognostic (2.56e-2),unprognostic (1.33e-1),unprognostic (4.16e-2),unprognostic (9.32e-2),unprognostic (1.99e-2),unprognostic (8.12e-2),unprognostic (5.13e-2),unprognostic (4.16e-1),unprognostic (5.00e-2),unprognostic (1.07e-2),unprognostic (1.07e-2),0,0,0
